0	1	258.0	328.5
0	2	262.0	461.0
0	3	147.5	328.0
0	4	579.5	24.5
0	5	93.0	241.5
0	6	387.5	248.0
0	7	479.0	198.0
0	8	427.5	128.0
0	9	142.0	372.0
0	10	203.5	467.0
0	11	405.0	439.5
0	12	421.5	85.5
0	13	17.5	67.5
0	14	475.5	14.0
0	15	196.5	101.5
0	16	479.5	299.0
0	17	493.5	396.0
0	18	602.5	347.0
10	1	259.5	326.5
10	2	260.5	460.0
10	3	147.5	328.5
10	4	578.0	25.0
10	5	96.5	238.5
10	6	388.5	249.0
10	7	484.0	198.5
10	8	427.5	128.5
10	9	142.5	371.5
10	10	203.5	467.0
10	12	421.5	84.5
10	14	475.5	14.5
10	15	186.0	86.0
10	16	478.5	299.0
10	19	339.5	311.0
10	20	180.0	66.5
10	21	160.0	73.5
10	22	598.0	263.0
10	23	548.5	287.5
20	1	260.0	325.5
20	2	259.5	459.5
20	3	147.0	328.5
20	4	578.0	25.5
20	5	96.5	239.0
20	6	390.5	249.0
20	7	483.0	199.0
20	9	143.5	371.5
20	10	203.5	467.0
20	12	421.5	84.5
20	14	474.0	13.5
20	15	185.0	85.5
20	16	478.5	299.0
20	22	595.0	263.0
20	24	24.5	304.0
30	1	261.0	325.0
30	2	258.5	460.0
30	3	147.0	327.5
30	4	578.0	25.5
30	5	98.0	238.5
30	6	394.0	248.5
30	7	483.5	197.5
30	9	143.0	372.0
30	10	203.0	466.5
30	12	421.5	84.5
30	16	478.5	299.0
40	1	262.0	324.0
40	2	258.0	460.0
40	3	147.0	327.5
40	4	578.0	25.5
40	5	99.0	238.0
40	6	396.0	248.0
40	9	143.0	372.0
40	10	203.0	466.5
40	12	421.5	84.5
40	16	478.5	299.0
50	1	265.0	324.0
50	2	258.0	460.0
50	3	147.0	327.5
50	4	577.5	25.5
50	5	101.5	237.5
50	6	397.0	247.5
50	9	143.0	372.0
50	10	203.0	466.5
50	12	421.5	85.0
50	16	477.5	299.0
60	1	266.5	323.5
60	2	259.0	460.0
60	3	147.0	327.5
60	4	577.0	25.5
60	5	102.5	237.0
60	6	397.5	247.0
60	9	143.0	372.0
60	10	203.0	466.5
60	12	421.5	84.5
60	16	477.0	300.0
70	1	267.5	323.5
70	2	258.5	460.0
70	3	147.5	328.5
70	4	577.0	25.5
70	5	103.5	236.5
70	6	398.0	247.5
70	9	144.0	375.5
70	10	203.0	466.5
70	12	421.0	84.5
70	25	493.0	397.0
80	1	268.0	323.5
80	2	257.5	460.0
80	3	147.0	329.0
80	4	576.5	25.5
80	5	104.0	235.0
80	6	399.0	247.0
80	10	203.0	466.5
80	12	421.0	84.5
80	25	493.0	397.0
90	1	270.0	322.0
90	2	258.0	459.5
90	3	147.0	329.5
90	4	576.5	25.5
90	5	104.5	233.5
90	6	401.0	247.0
90	10	203.0	466.5
90	12	421.0	83.5
90	25	493.0	397.0
90	27	23.0	325.0
100	1	269.5	321.0
100	2	258.0	459.5
100	3	147.0	330.0
100	4	576.0	25.5
100	5	105.5	232.5
100	6	402.5	247.5
100	10	203.0	466.5
100	12	421.0	83.5
100	25	493.0	397.0
100	27	24.0	316.5
110	1	269.5	320.0
110	2	257.5	459.5
110	3	147.0	330.0
110	4	575.5	25.5
110	5	105.0	231.5
110	10	203.0	466.5
110	12	421.5	83.5
110	25	493.0	397.0
110	27	23.5	328.5
120	1	270.0	317.5
120	2	256.0	459.5
120	4	575.5	25.5
120	5	104.5	231.5
120	10	202.5	466.5
120	25	492.0	397.0
130	1	270.5	316.0
130	2	255.0	460.0
130	4	576.0	25.5
130	5	105.0	231.0
130	10	202.5	466.5
130	25	491.5	397.5
140	1	271.5	314.0
140	2	255.0	460.0
140	4	575.5	25.5
140	5	105.0	229.5
140	10	202.5	466.5
140	25	492.0	397.5
150	1	272.0	310.5
150	2	256.0	460.0
150	4	575.5	25.5
150	5	106.5	229.0
150	10	202.5	466.5
150	25	491.5	397.5
160	1	273.5	308.5
160	2	255.0	460.0
160	4	575.5	26.0
160	5	108.0	228.0
160	10	202.5	466.0
160	25	491.5	397.5
160	36	473.5	304.5
170	1	274.0	304.5
170	2	253.5	460.0
170	4	575.5	26.0
170	5	109.0	227.5
170	25	491.5	397.5
170	36	473.5	305.0
180	1	275.0	303.5
180	2	251.0	460.0
180	4	575.5	26.0
180	5	110.5	227.0
180	25	491.5	397.5
180	36	473.5	305.0
190	1	275.0	302.0
190	2	252.0	459.5
190	4	575.5	26.0
190	5	111.0	227.0
190	25	492.0	396.5
190	36	474.0	305.0
190	40	149.0	330.0
200	1	277.0	301.0
200	2	249.0	459.5
200	4	575.5	26.5
200	5	112.5	227.0
200	25	492.0	396.5
200	40	148.0	329.5
200	42	586.5	257.5
210	1	278.0	300.0
210	2	246.5	460.0
210	4	574.5	27.5
210	5	113.5	227.0
210	25	492.0	397.5
210	40	145.5	327.5
210	42	584.0	257.5
210	44	608.0	165.5
220	1	279.5	300.0
220	2	244.5	460.0
220	4	573.5	28.0
220	5	114.5	227.0
220	25	492.0	396.5
220	40	145.0	328.5
220	42	582.5	255.0
220	44	608.5	164.5
220	48	201.5	465.0
220	50	182.5	86.0
230	1	281.5	298.5
230	2	243.5	460.0
230	4	573.5	28.5
230	5	115.0	227.5
230	25	492.0	396.5
230	40	142.0	328.5
230	48	202.0	465.0
230	50	183.0	86.0
240	1	282.5	298.5
240	2	246.0	459.5
240	5	115.5	227.5
240	40	143.0	328.0
240	48	201.0	465.0
250	1	283.0	298.0
250	2	247.0	459.5
250	5	116.0	227.5
250	40	144.0	327.5
250	48	201.0	465.0
250	54	471.0	311.5
260	1	284.0	297.0
260	2	247.0	459.5
260	5	116.5	227.0
260	40	143.0	326.5
260	48	200.5	465.0
260	54	471.5	312.0
270	1	284.5	295.5
270	2	248.5	459.5
270	5	118.0	227.0
270	40	141.5	327.0
270	48	200.5	464.0
270	54	472.0	311.5
280	1	286.0	293.5
280	2	248.0	459.0
280	5	119.0	227.0
280	40	139.5	326.5
280	54	470.5	312.0
290	1	287.0	291.5
290	2	247.5	459.0
290	5	120.0	226.5
290	40	138.5	327.5
290	54	469.0	312.5
290	57	309.5	348.0
290	58	347.0	319.5
300	1	288.5	289.5
300	2	247.0	459.0
300	5	120.5	226.5
300	40	138.5	326.0
300	54	468.0	313.5
300	57	309.5	347.5
300	58	347.0	319.5
300	61	342.0	403.5
310	1	290.5	287.0
310	2	247.0	459.0
310	5	120.0	226.0
310	40	137.0	325.0
310	54	471.0	313.5
310	57	309.0	348.5
310	58	347.0	319.5
310	61	340.0	403.0
310	63	324.0	306.5
320	1	291.5	284.5
320	2	246.5	459.0
320	5	120.0	226.0
320	40	137.0	319.5
320	57	309.5	348.5
320	58	347.0	320.5
320	61	339.5	403.0
330	1	293.0	282.5
330	2	247.0	459.5
330	5	120.0	226.0
330	40	137.0	317.0
330	57	309.5	348.5
330	58	347.0	320.0
330	61	338.5	404.0
330	67	571.5	29.0
340	1	295.0	282.5
340	2	247.5	458.5
340	5	119.5	225.0
340	40	137.0	315.5
340	57	309.5	348.5
340	58	346.5	321.5
340	61	339.0	403.5
340	62	143.0	45.0
340	67	570.5	29.5
350	1	296.0	282.0
350	2	248.5	459.0
350	5	120.5	225.5
350	40	137.0	316.5
350	57	309.5	348.5
350	58	347.0	322.0
350	61	340.0	403.5
350	72	271.5	51.5
360	1	298.0	280.5
360	2	247.0	458.5
360	5	121.0	225.5
360	40	137.5	317.0
360	57	305.0	345.5
360	58	347.5	321.5
370	1	298.5	278.5
370	2	246.5	458.5
370	5	121.0	225.5
370	40	137.5	319.5
370	57	302.5	343.5
370	58	347.5	321.5
380	1	299.0	278.5
380	2	245.5	458.5
380	5	120.5	225.0
380	40	137.0	318.0
380	57	302.0	343.5
380	58	347.0	321.5
390	1	299.5	278.5
390	2	247.5	459.0
390	5	121.5	226.0
390	40	136.5	317.0
390	57	302.0	345.5
390	58	347.5	321.0
400	1	300.0	277.5
400	2	248.0	459.0
400	5	127.5	226.5
400	40	136.0	319.0
400	57	301.5	346.5
400	58	347.5	321.0
410	1	300.5	276.5
410	2	248.0	459.0
410	5	124.5	226.0
410	40	135.0	320.5
410	57	302.0	346.0
410	58	347.5	321.0
420	1	301.5	276.0
420	2	247.0	459.0
420	5	123.5	226.0
420	40	134.5	320.5
420	57	301.5	346.0
420	58	348.0	322.0
430	1	302.5	275.0
430	2	247.5	459.0
430	5	123.0	226.0
430	40	135.5	319.5
430	58	348.5	321.5
440	1	303.5	274.0
440	2	248.5	459.0
440	5	124.0	226.0
440	40	135.0	318.5
440	58	348.5	320.0
450	1	305.5	271.5
450	2	248.0	459.0
450	5	124.0	226.0
450	58	348.5	322.0
450	82	175.0	59.0
460	1	307.0	268.5
460	2	249.0	459.5
460	5	124.5	226.0
460	58	349.0	322.5
460	82	174.5	51.5
470	1	310.0	266.0
470	2	248.0	459.5
470	5	124.5	226.5
470	82	172.5	50.5
480	1	311.5	264.0
480	2	247.0	459.5
480	5	123.0	226.5
480	82	171.5	53.5
490	1	312.5	263.0
490	2	247.0	459.5
490	5	122.5	226.5
490	82	171.0	56.0
500	1	313.5	261.5
500	2	247.0	459.5
500	5	122.5	226.5
500	82	172.0	55.0
510	1	314.5	261.0
510	2	247.0	459.5
510	5	122.5	226.5
510	82	171.5	57.0
520	1	315.5	260.0
520	2	247.0	459.5
520	5	122.0	226.5
520	82	171.0	57.5
530	1	316.5	260.0
530	2	247.5	459.5
530	5	122.0	226.5
530	82	170.0	57.0
